keyword,risk_points,reason
обнал,25,Возможный признак обналичивания денежных средств
обналичивание,25,Возможный признак обналичивания денежных средств
наличные,15,Упоминание наличных денежных средств в назначении операции
снятие наличных,20,Операция может быть связана с выводом денежных средств в наличную форму
криптовалюта,20,Упоминание операций с криптовалютой
крипта,20,Упоминание операций с криптовалютой
цифровые активы,20,Упоминание операций с цифровыми активами
без договора,20,Отсутствие договора как основания операции
устная договоренность,20,Операция по устной договоренности требует дополнительной проверки
аванс без договора,20,Авансовый платеж без договора требует дополнительной проверки
возврат долга,15,Операция требует подтверждения экономического смысла
займ,15,Операция займа требует дополнительного анализа
финансовая помощь,15,Операция требует пояснения экономического смысла
личные нужды,10,Неконкретное назначение операции
прочее,10,Неконкретное назначение платежа
иные услуги,10,Неконкретное назначение операции
консультационные услуги,10,Назначение операции требует детализации
маркетинговые услуги,10,Назначение операции требует детализации
информационные услуги,10,Назначение операции требует детализации
агентское вознаграждение,15,Операция требует проверки договора и основания платежа
посреднические услуги,15,Назначение операции требует дополнительной проверки
комиссионное вознаграждение,15,Операция требует проверки договора и основания платежа
перевод третьему лицу,20,Перевод в пользу третьего лица требует проверки
оплата за третье лицо,20,Платеж за третье лицо требует дополнительной проверки
дробление,25,Возможный признак дробления операций
частями,15,Возможный признак дробления операции
транзит,25,Возможный признак транзитного характера операции
транзитный платеж,25,Возможный признак транзитного характера операции
вывод средств,25,Возможный признак вывода денежных средств
перевод собственных средств,10,Назначение операции требует уточнения
без НДС,10,Операция требует проверки налогового и договорного основания
благотворительность,10,Операция требует проверки получателя и основания платежа
пожертвование,10,Операция требует проверки получателя и основания платежа
покупка имущества,10,Операция требует проверки источника средств и основания сделки
оплата услуг,5,Общее назначение операции требует детализации
хозяйственные расходы,10,Назначение операции требует детализации
материальная помощь,10,Операция требует пояснения экономического смысла
перевод на карту,15,Операция требует проверки получателя платежа
пополнение карты,15,Операция требует проверки назначения и получателя